127.0.0.1 - - [14/Dec/2023:15:58:43 +0530] "GET /Test1/userProfilePic/ HTTP/1.1" 404 738
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "POST /Test1/LoginServlet HTTP/1.1" 302 -
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/userProfilePic/3.jpeg HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/images/user.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/images/category.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/images/product.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/images/check.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/images/addCategory.jpg HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/images/addproduct.png HTTP/1.1" 304 -
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/userProfilePic/WIN_20220811_16_10_29_Pro.jpg HTTP/1.1" 404 767
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/userProfilePic/photo_2023-03-10_15-37-36.jpg HTTP/1.1" 200 173631
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/userProfilePic/Chow%20Chow.jpeg HTTP/1.1" 200 7959
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/userProfilePic/WIN_20220811_16_10_29_Pro.jpg HTTP/1.1" 404 767
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/admin.jsp HTTP/1.1" 200 55968
127.0.0.1 - - [14/Dec/2023:15:59:16 +0530] "GET /Test1/productImages/download.jpeg HTTP/1.1" 200 8192
127.0.0.1 - - [14/Dec/2023:15:59:31 +0530] "GET /Test1/torders.jsp HTTP/1.1" 500 20369
127.0.0.1 - - [14/Dec/2023:15:59:54 +0530] "GET /Test1/organization.jsp HTTP/1.1" 200 24845
127.0.0.1 - - [14/Dec/2023:15:59:56 +0530] "GET /Test1/services.jsp HTTP/1.1" 200 2558
127.0.0.1 - - [14/Dec/2023:15:59:56 +0530] "GET /Test1/static/css/chat.css HTTP/1.1" 404 746
127.0.0.1 - - [14/Dec/2023:15:59:56 +0530] "GET /Test1/static/css/home.css HTTP/1.1" 404 746
127.0.0.1 - - [14/Dec/2023:15:59:56 +0530] "GET /Test1/static/scripts/chat.js HTTP/1.1" 404 749
127.0.0.1 - - [14/Dec/2023:15:59:56 +0530] "GET /Test1/static/scripts/responses.js HTTP/1.1" 404 754
127.0.0.1 - - [14/Dec/2023:15:59:56 +0530] "GET /Test1/static/scripts/responses.js HTTP/1.1" 404 754
127.0.0.1 - - [14/Dec/2023:15:59:56 +0530] "GET /Test1/static/scripts/chat.js HTTP/1.1" 404 749
127.0.0.1 - - [14/Dec/2023:16:00:07 +0530] "GET /Test1/contact.jsp HTTP/1.1" 200 24843
127.0.0.1 - - [14/Dec/2023:16:00:13 +0530] "GET /Test1/index.jsp HTTP/1.1" 200 39287
127.0.0.1 - - [14/Dec/2023:16:00:22 +0530] "GET /Test1/product.jsp?productId=1 HTTP/1.1" 200 43275
127.0.0.1 - - [14/Dec/2023:16:00:30 +0530] "GET /Test1/LoginServlet HTTP/1.1" 302 -
127.0.0.1 - - [14/Dec/2023:16:00:30 +0530] "GET /Test1/login.jsp HTTP/1.1" 200 23296
127.0.0.1 - - [14/Dec/2023:16:00:30 +0530] "GET /Test1/userProfilePic/ HTTP/1.1" 404 738
127.0.0.1 - - [14/Dec/2023:16:00:30 +0530] "GET /Test1/userProfilePic/ HTTP/1.1" 404 738
127.0.0.1 - - [14/Dec/2023:16:00:33 +0530] "GET /Test1/mycart.jsp HTTP/1.1" 200 16338
127.0.0.1 - - [14/Dec/2023:16:00:33 +0530] "GET /Test1/js/script.js HTTP/1.1" 200 5629
127.0.0.1 - - [14/Dec/2023:16:00:33 +0530] "GET /Test1/css/style.css HTTP/1.1" 200 1021
127.0.0.1 - - [14/Dec/2023:16:00:33 +0530] "GET /Test1/userProfilePic/ HTTP/1.1" 404 738
127.0.0.1 - - [14/Dec/2023:16:00:33 +0530] "GET /Test1/userProfilePic/ HTTP/1.1" 404 738
