127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/img/blog-2.jpg HTTP/1.1" 404 737
127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/img/team-5.jpg HTTP/1.1" 404 737
127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/img/product-4.png HTTP/1.1" 404 740
127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/img/team-2.jpg HTTP/1.1" 404 737
127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/img/team-1.jpg HTTP/1.1" 404 737
127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/img/product-2.png HTTP/1.1" 404 740
127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/img/team-4.jpg HTTP/1.1" 404 737
127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/img/team-3.jpg HTTP/1.1" 404 737
127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/lib/easing/easing.min.js HTTP/1.1" 404 751
127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/lib/waypoints/waypoints.min.js HTTP/1.1" 404 757
127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 762
127.0.0.1 - - [18/Nov/2023:23:00:32 +0530] "GET /Test1/js/main.js HTTP/1.1" 404 733
127.0.0.1 - - [18/Nov/2023:23:00:40 +0530] "GET /Test1/index.jsp HTTP/1.1" 200 17611
127.0.0.1 - - [18/Nov/2023:23:00:40 +0530] "GET /Test1/productImages/Screenshot%202023-11-08%20162611.png HTTP/1.1" 404 773
127.0.0.1 - - [18/Nov/2023:23:00:40 +0530] "GET /Test1/userProfilePic/ HTTP/1.1" 404 738
127.0.0.1 - - [18/Nov/2023:23:00:40 +0530] "GET /Test1/productImages/Screenshot%202023-11-08%20162611.png HTTP/1.1" 404 773
127.0.0.1 - - [18/Nov/2023:23:00:40 +0530] "GET /Test1/userProfilePic/ HTTP/1.1" 404 738
127.0.0.1 - - [18/Nov/2023:23:00:41 +0530] "GET /Test1/index.jsp HTTP/1.1" 200 17611
127.0.0.1 - - [18/Nov/2023:23:00:41 +0530] "GET /Test1/productImages/Screenshot%202023-11-08%20162611.png HTTP/1.1" 404 773
127.0.0.1 - - [18/Nov/2023:23:00:41 +0530] "GET /Test1/userProfilePic/ HTTP/1.1" 404 738
127.0.0.1 - - [18/Nov/2023:23:00:41 +0530] "GET /Test1/userProfilePic/ HTTP/1.1" 404 738
